Reservation_ID,Odo_Start,Odo_End,Fuel_Level,GPS_Lat,GPS_Lon,Max_Speed_kmh,Harsh_Events,Damage_Flag
RES-00001,"30,179km","30,857 km",93 %,15.505045,85.73534,165 kmh,3,0
RES-00002,41908km,41829,90 %,17.1024,80.326587,92,2,0
RES-00003,"100,504 km","101,678km",94%,26.9,81.05781,85,5,0
RES-00004,"66,049km","67,079 km",7%,16.36,86.3787,81,4,0
RES-00005,"41,765km",42647km,0.40,19.9174,87.728123,97,1,0
RES-00006,41155km,"41,551 km",0.41,16.70143,72.632598,121 kmh,6,0
RES-00007,"116,094km","117,535 km",26%,27.18,76.668783,58,3,0
RES-00008,65104,66777,0.94,22.66,80.7361,58,5,0
RES-00009,64700km,"64,884km",92 %,22.0491,85.280652,89,0,0
RES-00010,118063,118493,23%,13.0884,78.6396,176 kmh,4,0
RES-00011,68559,68669km,8 %,21.822,73.659421,146 kmh,6,0
RES-00012,"35,207km",36212,28 %,19.613034,79.2758,154 kmh,6,0
RES-00013,"7,360 km","8,998km",0.66,17.5088,76.11,51,0,1
RES-00014,87128,"87,520 km",0.28,23.391752,75.4864,89,4,0
RES-00015,49723,50754,0.4,15.283236,82.5648,177 kmh,1,0
RES-00016,"73,899 km","73,816km",98 %,12.18,84.79,95,4,0
RES-00017,85976km,86601,0.93,24.4461,73.0516,153 kmh,6,0
RES-00018,55343km,55765,11 %,26.98,75.03,125 kmh,3,0
RES-00019,"29,202 km","30,433 km",0.13,18.55,85.19,71,0,0
RES-00020,62263,62312km,77%,16.1701,85.5175,64,1,0
RES-00021,"31,793 km","33,521 km",0.4,15.83,84.61,88,4,0
RES-00022,53503km,"53,638km",30 %,18.99,77.990142,134 kmh,2,0
RES-00023,"12,781 km",12400km,66 %,23.829064,83.79,129 kmh,5,0
RES-00024,"53,738km",54991km,72 %,16.542752,72.1248,51,4,1
RES-00025,"60,487 km",62340km,0.2,27.93,87.987689,57,0,0
RES-00026,71647,"71,934 km",0.19,23.444858,73.491647,73,4,0
RES-00027,43493km,"44,200 km",62 %,27.78,78.163439,82,5,0
RES-00028,45364km,45906,26 %,17.82,82.54,124 kmh,4,1
RES-00029,"25,283 km","26,926 km",70 %,12.39,79.453,43,0,0
RES-00030,40031,"40,555 km",0.7,16.6012,73.9701,126 kmh,2,0
RES-00031,38974,"39,285 km",96 %,12.01,82.0542,159 kmh,3,0
RES-00032,"23,089km","23,625 km",73%,17.1,87.6777,152 kmh,5,0
RES-00033,81614km,81991,0.87,20.4,75.4822,176 kmh,3,0
RES-00034,"69,102 km","70,989 km",6%,13.8477,85.61,83,5,0
RES-00035,"71,630 km","72,911 km",6%,27.2112,72.29,176 kmh,6,1
RES-00036,47823km,"48,058km",0.62,16.36,82.072371,136 kmh,6,0
RES-00037,94856,"95,289km",61%,25.030265,86.16,78,2,0
RES-00038,"50,117 km","50,736km",0.4,22.1812,86.3925,81,3,0
RES-00039,"19,447 km","19,558km",0.5,12.944359,73.58,137 kmh,5,0
RES-00040,55082km,"55,774km",11%,21.45,79.261059,145 kmh,6,1
RES-00041,107072km,"107,657 km",68 %,18.0,81.823115,134 kmh,4,0
RES-00042,"57,288 km",57752,10 %,23.2568,84.214447,46,4,0
RES-00043,119995,120745km,0.41,13.561305,74.94,54,6,1
RES-00044,95837,"95,953km",95%,15.248625,72.010753,142 kmh,6,0
RES-00045,"16,993 km",17452,91%,18.5557,87.1794,88,3,0
RES-00046,"95,806 km",97519,32 %,27.7739,81.92,152 kmh,3,0
RES-00047,"30,359km","29,976 km",60%,15.64,86.7887,53,3,0
RES-00048,"79,072km",79146,53%,24.033483,72.654639,53,5,0
RES-00049,"77,415km","78,842km",99 %,25.48,73.36,76,1,0
RES-00050,"60,905 km","62,722 km",0.5,27.171271,83.93,175 kmh,3,0
RES-00051,"113,324 km",113233km,83 %,14.813909,72.54,120 kmh,4,0
RES-00052,"109,256 km","109,452 km",0.9,24.63365,86.84,95,1,0
RES-00053,87963km,87502,0.4,12.501059,82.7795,84,5,1
RES-00054,"67,183km","69,142 km",0.2,12.319,84.8807,50,5,0
RES-00055,22023,"23,229 km",28%,17.089,84.8392,162 kmh,4,0
RES-00056,76889,78205,9%,25.9778,72.85,77,1,0
RES-00057,"6,624 km",7096,33%,22.69,73.711,140 kmh,5,0
RES-00058,37888,"37,777km",0.3,18.0207,75.5363,96,1,0
RES-00059,"42,047km","42,710km",0.8,15.85,87.502897,124 kmh,1,0
RES-00060,16141km,"16,670 km",0.7,22.927184,82.1515,80,5,1
RES-00061,"109,198 km",109879,0.36,22.47,84.09,171 kmh,3,0
RES-00062,117841km,118060km,0.89,20.565476,75.57426,172 kmh,0,0
RES-00063,78524km,78968,45%,13.438178,85.444751,179 kmh,2,0
RES-00064,"65,473km",67164,52 %,18.183095,72.11,81,0,0
RES-00065,117975,118101,64%,21.187881,73.741029,52,3,0
RES-00066,89882,"91,251km",25%,25.56,76.19,165 kmh,6,0
RES-00067,"67,889km",68044km,43%,19.12,72.832163,124 kmh,2,0
RES-00068,"54,561km",56026,0.08,22.077,75.322884,84,0,0
RES-00069,"106,933km","108,067 km",98 %,12.1149,74.901,169 kmh,4,1
RES-00070,"70,449km",71075,90 %,15.181,79.808111,178 kmh,1,0
RES-00071,54695,54379km,0.63,12.085014,75.793071,45,3,0
RES-00072,67800km,"68,531km",60%,23.6353,79.199291,138 kmh,1,0
RES-00073,56425,57946km,0.39,25.57,78.135917,148 kmh,6,0
RES-00074,"37,890km","38,060km",31 %,16.92,87.6678,161 kmh,2,0
RES-00075,22754km,22991km,9%,24.6669,78.14,130 kmh,1,0
RES-00076,"111,489 km",112315km,30%,19.726761,81.268802,42,5,1
RES-00077,"12,281km","13,150km",0.72,19.916,87.24,155 kmh,5,0
RES-00078,"56,038 km","57,616 km",9 %,23.45464,86.515908,40,6,0
RES-00079,115934km,"117,183 km",21 %,13.3467,80.118882,170 kmh,1,0
RES-00080,"93,547 km",94493,51%,20.2178,85.8475,148 kmh,0,0
RES-00081,"109,082km",109975,56%,16.89,74.09,46,5,1
RES-00082,80032,"81,431km",51%,18.5096,77.7646,70,6,0
RES-00083,"83,629 km","83,139 km",0.75,25.040023,86.1321,80,6,0
RES-00084,"27,057km","27,533 km",94%,21.24,75.94,164 kmh,0,0
RES-00085,115758,"116,556 km",0.5,15.36,85.94,158 kmh,4,0
RES-00086,20121,22049,77 %,23.372041,80.65,178 kmh,1,0
RES-00087,"13,684 km",14065km,0.5,24.761789,80.46,123 kmh,6,1
RES-00088,33942km,34744,0.5,25.31,78.9845,143 kmh,0,0
RES-00089,"20,407 km","21,556 km",26%,21.293478,78.53,76,4,0
RES-00090,"118,633km","118,956km",0.54,21.656042,73.512863,95,1,0
RES-00091,"70,663km",71846,80%,21.99,72.38,161 kmh,6,0
RES-00092,"117,964km",118118km,0.60,13.100302,79.340873,136 kmh,6,0
RES-00093,"65,511km","67,029km",93%,25.8,83.283004,179 kmh,5,1
RES-00094,87066,87146km,0.42,24.61,83.53,156 kmh,2,0
RES-00095,"28,614km",29240,0.5,20.477212,77.836798,176 kmh,1,0
RES-00096,"13,817 km",15214,0.80,23.31,85.62,131 kmh,6,0
RES-00097,68501,69241km,0.63,13.31,77.405571,136 kmh,2,0
RES-00098,"7,161 km","8,570 km",56%,25.91,77.0196,121 kmh,3,0
RES-00099,"111,188 km",112948,68 %,16.9955,72.51,60,3,0
RES-00100,"51,602km",53325,0.58,15.66,77.8238,163 kmh,4,0
RES-00101,89555,90615,51 %,13.553835,82.8703,121 kmh,6,1
RES-00102,114510,115119km,0.80,15.979144,77.11,84,2,0
RES-00103,68937km,69241km,90%,14.3164,85.55,179 kmh,6,0
RES-00104,101153km,101867,0.8,14.67,86.42,40,1,0
RES-00105,16527km,17122,24 %,22.1149,77.6662,87,6,0
RES-00106,"36,632 km",37754,0.3,12.199333,86.19,146 kmh,2,1
RES-00107,"94,017km","95,826km",35 %,13.2997,80.7622,146 kmh,0,0
RES-00108,"87,132 km",87312km,0.1,13.094072,76.4931,172 kmh,4,0
RES-00109,115199km,115484km,0.32,25.932466,86.365267,164 kmh,3,0
RES-00110,"43,209km",44042km,17 %,19.19,85.4517,121 kmh,1,0
RES-00111,"38,272 km","38,988km",0.10,17.2,72.5906,52,1,1
RES-00112,"91,460 km","92,577km",6%,13.34,87.330455,155 kmh,6,0
RES-00113,41749,"42,522km",7%,20.693026,82.78,74,4,0
RES-00114,"43,576km",44609km,0.55,19.9469,72.457375,153 kmh,6,0
RES-00115,12530km,13176km,0.68,14.7539,84.7708,161 kmh,5,0
RES-00116,11773km,"13,309 km",34%,23.051952,80.55,147 kmh,1,0
RES-00117,"114,412 km",114997km,91%,20.9615,82.802306,156 kmh,2,0
RES-00118,"106,154km","106,468 km",27 %,19.920376,76.598545,53,0,0
RES-00119,"53,904 km",54519,0.32,16.8711,77.311164,50,3,1
RES-00120,"55,995 km",57652,19%,24.578294,75.76,81,4,1
RES-00121,"30,148km",30690,24 %,15.9675,86.906377,169 kmh,6,0
RES-00122,"71,294km","71,716 km",38 %,23.57,75.9113,87,0,0
RES-00123,24776,24549,63%,25.8314,77.9394,121 kmh,3,0
RES-00124,75907,77589km,78 %,18.2278,80.820371,42,1,0
RES-00125,110754,"111,988km",66%,16.8147,84.121502,64,2,1
RES-00126,"103,523km","105,295km",45 %,15.37,81.16,86,6,0
RES-00127,"119,798 km","120,374 km",52 %,25.32,76.4594,149 kmh,0,0
RES-00128,"98,452 km",98233,0.1,16.706565,79.052561,68,3,1
RES-00129,72288,73470km,0.09,15.618158,86.558023,51,2,0
RES-00130,94550km,95837km,30 %,23.7096,77.62,78,0,0
RES-00131,"55,574 km",57253,1.0,21.0314,79.74,139 kmh,4,0
RES-00132,"42,854 km","44,704 km",60 %,19.993,87.491582,47,6,0
RES-00133,"81,218 km",82093km,0.44,15.443,75.04,91,1,0
RES-00134,"63,388 km","64,438km",0.81,24.08,82.210839,148 kmh,4,0
RES-00135,29048km,30528km,0.8,27.8679,78.48035,140 kmh,1,0
RES-00136,117941,117984,24 %,26.09,86.039132,176 kmh,3,0
RES-00137,"43,378km",44416,0.2,17.03,82.05,49,1,1
RES-00138,115324km,"115,497km",0.99,14.78,83.1923,124 kmh,3,0
RES-00139,71562km,72368,0.7,21.55,82.332118,93,4,0
RES-00140,"35,653km",36458,0.27,26.18,80.3069,175 kmh,2,0
RES-00141,"16,628 km",17608km,0.3,23.67,85.95,94,1,0
RES-00142,45229km,46413,0.43,14.26064,83.2401,165 kmh,4,0
RES-00143,"111,452km","113,064 km",0.8,25.27,87.37,53,5,0
RES-00144,"97,921km",98277km,88 %,27.2587,86.6236,80,3,1
RES-00145,18194km,"18,936 km",0.5,20.234523,72.29,81,3,0
RES-00146,38117,"39,544km",91 %,18.74,80.833654,80,4,0
RES-00147,"8,748km","9,041km",0.21,21.63,83.95,76,0,0
RES-00148,29012km,30097km,28%,16.7514,82.38,88,2,0
RES-00149,83741,"84,221km",0.3,24.531757,74.28,88,6,0
RES-00150,"102,199 km",102485km,42%,16.3746,73.4665,157 kmh,6,0
RES-00151,31606,32068,63 %,12.74,79.656392,170 kmh,1,1
RES-00152,21660,21820km,0.1,25.23,78.9,127 kmh,6,0
RES-00153,23018km,"24,672 km",81 %,22.3521,79.72,72,1,0
RES-00154,"106,476km",108195,76 %,13.8309,81.96,144 kmh,0,1
RES-00155,"101,867 km","103,031km",94%,22.79,79.048755,46,4,0
RES-00156,"100,524 km",101004,0.4,26.5611,80.1947,124 kmh,4,0
RES-00157,79178km,"81,019 km",79 %,25.04,79.650353,142 kmh,0,0
RES-00158,75110,"76,721 km",89 %,25.5982,77.525454,145 kmh,6,0
RES-00159,"84,981km","85,630km",90%,15.63,79.6745,123 kmh,3,1
RES-00160,"109,030km","109,747 km",0.50,26.721331,86.57,123 kmh,4,0
RES-00161,"118,162km","118,781km",42 %,24.0468,84.29,75,2,1
RES-00162,"51,475km",52884km,46%,12.72,81.42,163 kmh,2,0
RES-00163,"115,836 km",117074km,50 %,21.8236,72.6352,127 kmh,6,0
RES-00164,55865,"56,928 km",0.8,19.89,82.7029,122 kmh,1,0
RES-00165,44844km,46244km,19%,13.120568,83.1031,133 kmh,6,0
RES-00166,49202,50941,0.12,18.3341,87.1492,81,1,0
RES-00167,64123km,"65,263 km",0.08,18.2532,76.1082,64,0,0
RES-00168,44806,"46,371km",0.77,27.45,74.6911,140 kmh,4,0
RES-00169,39120km,40741km,48%,23.2402,77.14,41,2,1
RES-00170,"109,232km","109,368km",0.9,12.37,78.1892,123 kmh,3,1
RES-00171,"5,953 km",6762km,65%,26.698302,84.210011,169 kmh,1,0
RES-00172,59669km,60258,40 %,14.1839,77.630455,100,3,0
RES-00173,"9,934km",10564km,93 %,21.3135,77.4536,128 kmh,3,0
RES-00174,"9,261 km","10,925km",0.41,20.194759,84.1898,122 kmh,6,0
RES-00175,93853,93753km,0.98,22.069535,84.7703,63,6,0
RES-00176,"82,316km",83610,0.05,18.5412,81.2397,71,0,0
RES-00177,86519,"87,391 km",0.24,13.17,75.0927,45,6,1
RES-00178,40999km,"42,027 km",87%,27.31,86.1415,55,4,1
RES-00179,"117,164km","117,067km",0.9,24.2,75.37,125 kmh,3,0
RES-00180,"103,582 km",104861km,75 %,25.1227,85.987885,166 kmh,0,0
RES-00181,66716km,"68,169 km",25 %,26.3915,78.93,172 kmh,5,0
RES-00182,103390,103855km,0.8,18.838,86.22,125 kmh,0,0
RES-00183,"34,038km","34,112km",1.0,14.47,72.2636,129 kmh,1,0
RES-00184,99883km,"100,447 km",75 %,22.21,76.5078,45,3,0
